문장,정답,모델예측,긍정확률,맞음
손에 잡히는 느낌이 좋아요,긍정,긍정,0.75,O
마감이 매끄러워서 만족해요,긍정,긍정,0.64,O
재질이 약해서 실망했어요,부정,부정,0.33,O
며칠 쓰다가 고장 났어요,부정,부정,0.41,O
오래 써도 튼튼해요,긍정,부정,0.48,X
두 번째 구매인데 만족해요,긍정,긍정,0.57,O
매일 잘 쓰고 있어요,긍정,긍정,0.54,O
친구에게 말리고 싶어요,부정,긍정,0.56,X
다시는 안 살 거예요,부정,부정,0.37,O
성능이 기대보다 좋아요,긍정,긍정,0.78,O
손에 잡히는 느낌이 별로예요,부정,부정,0.32,O
가격이 너무 비싸요,부정,부정,0.45,O
가격 대비 성능이 별로예요,부정,부정,0.43,O
다시 사고 싶어요,긍정,부정,0.48,X
성능이 기대보다 못해요,부정,긍정,0.52,X
배터리가 하루 종일 넉넉해요,긍정,부정,0.42,X
디자인이 촌스러워서 별로예요,부정,부정,0.36,O
괜히 산 것 같아요,부정,긍정,0.67,X
색상이 사진과 똑같아서 만족해요,긍정,긍정,0.62,O
배송이 하루 만에 왔어요,긍정,부정,0.43,X
